max_votos,seccion_nombre,agrupacion_nombre,seccion_id
87094,Capital,JUNTOS POR EL CAMBIO,1
29289,Goya,UNION POR LA PATRIA,2
11700,Curuzú Cuatiá,UNION POR LA PATRIA,3
11095,Mercedes,UNION POR LA PATRIA,4
11077,Esquina,UNION POR LA PATRIA,5
11437,Lavalle,UNION POR LA PATRIA,6
14822,Santo Tomé,UNION POR LA PATRIA,7
14235,Paso de los Libres,UNION POR LA PATRIA,8
9906,Monte Caseros,UNION POR LA PATRIA,9
5790,San Luis del Palmar,JUNTOS POR EL CAMBIO,10
11359,Bella Vista,UNION POR LA PATRIA,11
4516,Empedrado,UNION POR LA PATRIA,12
7423,San Roque,UNION POR LA PATRIA,13
4613,General Paz,UNION POR LA PATRIA,14
7590,Saladas,UNION POR LA PATRIA,15
3481,San Martín,UNION POR LA PATRIA,16
6938,Concepción,UNION POR LA PATRIA,17
3632,Mburucuyá,UNION POR LA PATRIA,18
9595,Ituzaingó,JUNTOS POR EL CAMBIO,19
2877,Sauce,UNION POR LA PATRIA,20
8121,San Cosme,JUNTOS POR EL CAMBIO,21
2064,General Alvear,UNION POR LA PATRIA,22
4586,San Miguel,UNION POR LA PATRIA,23
3028,Itatí,JUNTOS POR EL CAMBIO,24
845,Berón de Astrada,JUNTOS POR EL CAMBIO,25
