max_votos,seccion_nombre,agrupacion_nombre,seccion_id
73946,Paraná,UNION POR LA PATRIA,1
19430,La Paz,UNION POR LA PATRIA,3
10284,Diamante,LA LIBERTAD AVANZA,4
7684,Victoria,LA LIBERTAD AVANZA,5
7590,Nogoyá,UNION POR LA PATRIA,6
11355,Gualeguay,LA LIBERTAD AVANZA,7
5941,Tala,UNION POR LA PATRIA,8
22179,Uruguay,UNION POR LA PATRIA,9
25177,Gualeguaychú,JUNTOS POR EL CAMBIO,10
3386,Islas del Ibicuy,UNION POR LA PATRIA,11
11218,Villaguay,UNION POR LA PATRIA,12
41478,Concordia,UNION POR LA PATRIA,13
7777,Federal,UNION POR LA PATRIA,14
13681,Colón,LA LIBERTAD AVANZA,15
4761,Feliciano,UNION POR LA PATRIA,16
17198,Federación,JUNTOS POR EL CAMBIO,17
4032,San Salvador,UNION POR LA PATRIA,18
