seccion_id,seccion_nombre,agrupacion_nombre,max_votos
16,Feliciano,UNION POR LA PATRIA,2848
11,Islas del Ibicuy,UNION POR LA PATRIA,2857
18,San Salvador,JUNTOS POR EL CAMBIO,3450
8,Tala,JUNTOS POR EL CAMBIO,5246
5,Victoria,UNION POR LA PATRIA,6555
14,Federal,UNION POR LA PATRIA,6562
6,Nogoyá,JUNTOS POR EL CAMBIO,7982
12,Villaguay,UNION POR LA PATRIA,9703
4,Diamante,JUNTOS POR EL CAMBIO,10236
7,Gualeguay,JUNTOS POR EL CAMBIO,12513
17,Federación,JUNTOS POR EL CAMBIO,13512
15,Colón,JUNTOS POR EL CAMBIO,13856
3,La Paz,UNION POR LA PATRIA,15932
9,Uruguay,JUNTOS POR EL CAMBIO,21017
10,Gualeguaychú,JUNTOS POR EL CAMBIO,28763
13,Concordia,UNION POR LA PATRIA,34059
1,Paraná,JUNTOS POR EL CAMBIO,76321
