max_votos,seccion_nombre,agrupacion_nombre,seccion_id
2606,Atreucó,LA LIBERTAD AVANZA,1
29748,Capital,UNION POR LA PATRIA,2
644,Caleu Caleu,UNION POR LA PATRIA,3
2182,Catriló,UNION POR LA PATRIA,4
916,Chalileo,UNION POR LA PATRIA,5
3193,Chapaleufú,LA LIBERTAD AVANZA,6
446,Chical Có,UNION POR LA PATRIA,7
3596,Conhelo,UNION POR LA PATRIA,8
381,Curacó,UNION POR LA PATRIA,9
2204,Guatraché,LA LIBERTAD AVANZA,10
1906,Hucal,LA LIBERTAD AVANZA,11
2561,Loventué,UNION POR LA PATRIA,12
70,Lihuel Calel,UNION POR LA PATRIA,13
60,Limay Mahuida,UNION POR LA PATRIA,14
15417,Maracó,LA LIBERTAD AVANZA,15
3165,Puelén,LA LIBERTAD AVANZA,16
1974,Quemú Quemú,LA LIBERTAD AVANZA,17
2328,Rancul,UNION POR LA PATRIA,18
4074,Realicó,LA LIBERTAD AVANZA,19
4435,Toay,UNION POR LA PATRIA,20
1631,Trenel,UNION POR LA PATRIA,21
3896,Utracán,LA LIBERTAD AVANZA,22
