max_votos,seccion_id,agrupacion_nombre,seccion_nombre
2315,1,JUNTOS POR EL CAMBIO,Atreucó
21401,2,UNION POR LA PATRIA,Capital
433,3,UNION POR LA PATRIA,Caleu Caleu
1753,4,LA LIBERTAD AVANZA,Catriló
674,5,UNION POR LA PATRIA,Chalileo
2684,6,LA LIBERTAD AVANZA,Chapaleufú
351,7,UNION POR LA PATRIA,Chical Có
3119,8,LA LIBERTAD AVANZA,Conhelo
287,9,UNION POR LA PATRIA,Curacó
2042,10,JUNTOS POR EL CAMBIO,Guatraché
1509,11,JUNTOS POR EL CAMBIO,Hucal
1819,12,UNION POR LA PATRIA,Loventué
54,13,UNION POR LA PATRIA,Lihuel Calel
67,14,LA LIBERTAD AVANZA,Limay Mahuida
14106,15,LA LIBERTAD AVANZA,Maracó
3113,16,LA LIBERTAD AVANZA,Puelén
2034,17,JUNTOS POR EL CAMBIO,Quemú Quemú
1773,18,LA LIBERTAD AVANZA,Rancul
3616,19,LA LIBERTAD AVANZA,Realicó
3502,20,LA LIBERTAD AVANZA,Toay
1266,21,UNION POR LA PATRIA,Trenel
3448,22,LA LIBERTAD AVANZA,Utracán
