max_votos,seccion_nombre,agrupacion_nombre,seccion_id
40445,Capital,LA LIBERTAD AVANZA,1
1096,Sanagasta,UNION POR LA PATRIA,2
1388,Castro Barros,UNION POR LA PATRIA,3
3276,Arauco,UNION POR LA PATRIA,4
1096,San Blas de los Sauces,UNION POR LA PATRIA,5
12270,Chilecito,LA LIBERTAD AVANZA,6
1241,Famatina,UNION POR LA PATRIA,7
2773,Coronel Felipe Varela,UNION POR LA PATRIA,8
315,General Lamadrid,UNION POR LA PATRIA,9
684,Vinchina,UNION POR LA PATRIA,10
812,Independencia,UNION POR LA PATRIA,11
2682,Chamical,LA LIBERTAD AVANZA,12
676,Ángel Vicente Peñaloza,UNION POR LA PATRIA,13
1139,General Belgrano,LA LIBERTAD AVANZA,14
790,General Juan Facundo Quiroga,UNION POR LA PATRIA,15
2100,General Ortiz de Ocampo,UNION POR LA PATRIA,16
2588,Rosario Vera Peñaloza,UNION POR LA PATRIA,17
819,General San Martín,UNION POR LA PATRIA,18
