max_votos,seccion_nombre,agrupacion_nombre,seccion_id
16156,Adolfo Alsina,UNION POR LA PATRIA,1
1572,Conesa,LA LIBERTAD AVANZA,2
7995,San Antonio,UNION POR LA PATRIA,3
1297,Valcheta,UNION POR LA PATRIA,4
1239,9 de Julio,UNION POR LA PATRIA,5
4200,25 de Mayo,UNION POR LA PATRIA,6
546,Ñorquinco,UNION POR LA PATRIA,7
2753,Pilcaniyeu,UNION POR LA PATRIA,8
36657,Bariloche,UNION POR LA PATRIA,9
3296,Pichi Mahuida,UNION POR LA PATRIA,10
9353,Avellaneda,UNION POR LA PATRIA,11
83233,General Roca,LA LIBERTAD AVANZA,12
1143,El Cuy,UNION POR LA PATRIA,13
