seccion_id,seccion_nombre,agrupacion_nombre,max_votos
1,Capital,LA LIBERTAD AVANZA,134068
2,Lules,UNION POR LA PATRIA,20199
3,Famaillá,UNION POR LA PATRIA,13591
4,Monteros,UNION POR LA PATRIA,27605
5,Chicligasta,UNION POR LA PATRIA,26068
6,Río Chico,UNION POR LA PATRIA,25969
7,Juan Bautista Alberdi,UNION POR LA PATRIA,10992
8,La Cocha,UNION POR LA PATRIA,7961
9,Graneros,UNION POR LA PATRIA,7029
10,Simoca,UNION POR LA PATRIA,15310
11,Leales,UNION POR LA PATRIA,23924
12,Cruz Alta,UNION POR LA PATRIA,75761
13,Burruyacú,UNION POR LA PATRIA,19127
14,Trancas,UNION POR LA PATRIA,6585
15,Yerba Buena,LA LIBERTAD AVANZA,22472
16,Tafí Viejo,LA LIBERTAD AVANZA,41138
17,Tafí del Valle,UNION POR LA PATRIA,7003
