seccion_id,seccion_nombre,agrupacion_nombre,max_votos
1,Capital,LA LIBERTAD AVANZA,120529
2,Lules,LA LIBERTAD AVANZA,17343
3,Famaillá,LA LIBERTAD AVANZA,9781
4,Monteros,UNION POR LA PATRIA,20603
5,Chicligasta,LA LIBERTAD AVANZA,19224
6,Río Chico,UNION POR LA PATRIA,21272
7,Juan Bautista Alberdi,UNION POR LA PATRIA,8027
8,La Cocha,UNION POR LA PATRIA,5963
9,Graneros,UNION POR LA PATRIA,5407
10,Simoca,UNION POR LA PATRIA,12138
11,Leales,UNION POR LA PATRIA,16983
12,Cruz Alta,LA LIBERTAD AVANZA,49003
13,Burruyacú,UNION POR LA PATRIA,13552
14,Trancas,UNION POR LA PATRIA,4886
15,Yerba Buena,JUNTOS POR EL CAMBIO,21955
16,Tafí Viejo,LA LIBERTAD AVANZA,39203
17,Tafí del Valle,UNION POR LA PATRIA,4373
