eleccion_tipo,provincia,agrupacion,votos
GENERAL,Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,600832
GENERAL,Córdoba,LA LIBERTAD AVANZA,769847
GENERAL,Córdoba,HACEMOS POR NUESTRO PAIS,665717
GENERAL,Córdoba,JUNTOS POR EL CAMBIO,519252
GENERAL,Córdoba,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31895
GENERAL,Entre Ríos,UNION POR LA PATRIA,276850
GENERAL,Neuquén,UNION POR LA PATRIA,134510
GENERAL,La Pampa,JUNTOS POR EL CAMBIO,49911
GENERAL,La Pampa,HACEMOS POR NUESTRO PAIS,16947
GENERAL,La Pampa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5244
GENERAL,La Pampa,LA LIBERTAD AVANZA,76341
GENERAL,Misiones,UNION POR LA PATRIA,275062
GENERAL,Mendoza,UNION POR LA PATRIA,265740
GENERAL,Tucumán,LA LIBERTAD AVANZA,365992
GENERAL,Tucumán,JUNTOS POR EL CAMBIO,153130
GENERAL,Tucumán,HACEMOS POR NUESTRO PAIS,42086
GENERAL,Tucumán,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15152
PASO,Ciudad Autónoma de Buenos Aires,UNION POR LA PATRIA,397054
PASO,Buenos Aires,UNION POR LA PATRIA,2831078
PASO,Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10036
PASO,Entre Ríos,LA LIBERTAD AVANZA,176164
PASO,Entre Ríos,JUNTOS POR EL CAMBIO,257263
PASO,Entre Ríos,HACEMOS POR NUESTRO PAIS,9425
PASO,San Juan,HACEMOS POR NUESTRO PAIS,6896
PASO,San Juan,JUNTOS POR EL CAMBIO,117449
PASO,San Juan,LA LIBERTAD AVANZA,143858
PASO,San Juan,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5503
PASO,Corrientes,UNION POR LA PATRIA,182658
PASO,Río Negro,JUNTOS POR EL CAMBIO,84232
PASO,Río Negro,LA LIBERTAD AVANZA,148437
PASO,Río Negro,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,13230
PASO,Río Negro,HACEMOS POR NUESTRO PAIS,8232
PASO,Misiones,UNION POR LA PATRIA,175370
PASO,San Luis,LA LIBERTAD AVANZA,135471
PASO,San Luis,HACEMOS POR NUESTRO PAIS,8263
PASO,San Luis,JUNTOS POR EL CAMBIO,66579
PASO,San Luis,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3941
PASO,Santa Fe,HACEMOS POR NUESTRO PAIS,67563
PASO,Santa Fe,JUNTOS POR EL CAMBIO,579867
PASO,Santa Fe,LA LIBERTAD AVANZA,646315
PASO,Santa Fe,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,30845
PASO,Salta,UNION POR LA PATRIA,155837
PASO,Santa Cruz,UNION POR LA PATRIA,38479
PASO,Catamarca,HACEMOS POR NUESTRO PAIS,3530
PASO,Catamarca,LA LIBERTAD AVANZA,53778
PASO,Catamarca,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2802
PASO,Catamarca,JUNTOS POR EL CAMBIO,44544
PASO,Santiago del Estero,UNION POR LA PATRIA,280563
PASO,La Pampa,UNION POR LA PATRIA,56934
PASO,La Rioja,UNION POR LA PATRIA,60160
PASO,Tucumán,JUNTOS POR EL CAMBIO,206969
PASO,Tucumán,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,16029
PASO,Tucumán,HACEMOS POR NUESTRO PAIS,11302
PASO,Tucumán,LA LIBERTAD AVANZA,342681
GENERAL,Chaco,JUNTOS POR EL CAMBIO,171756
GENERAL,Chaco,LA LIBERTAD AVANZA,197596
GENERAL,Chaco,HACEMOS POR NUESTRO PAIS,25804
GENERAL,Chaco,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5482
GENERAL,Formosa,LA LIBERTAD AVANZA,103911
GENERAL,Formosa,JUNTOS POR EL CAMBIO,55097
GENERAL,Formosa,HACEMOS POR NUESTRO PAIS,8793
GENERAL,Formosa,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2772
GENERAL,San Juan,UNION POR LA PATRIA,147523
GENERAL,San Luis,LA LIBERTAD AVANZA,138251
GENERAL,San Luis,JUNTOS POR EL CAMBIO,66824
GENERAL,San Luis,HACEMOS POR NUESTRO PAIS,20017
GENERAL,San Luis,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6964
PASO,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",UNION POR LA PATRIA,29600
GENERAL,Ciudad Autónoma de Buenos Aires,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,66145
GENERAL,Ciudad Autónoma de Buenos Aires,JUNTOS POR EL CAMBIO,767367
GENERAL,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,369424
GENERAL,Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,57607
GENERAL,Córdoba,UNION POR LA PATRIA,308016
GENERAL,Entre Ríos,LA LIBERTAD AVANZA,247640
GENERAL,Entre Ríos,JUNTOS POR EL CAMBIO,250512
GENERAL,Entre Ríos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,12760
GENERAL,Entre Ríos,HACEMOS POR NUESTRO PAIS,44720
GENERAL,Neuquén,JUNTOS POR EL CAMBIO,86927
GENERAL,Neuquén,HACEMOS POR NUESTRO PAIS,25215
GENERAL,Neuquén,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21238
GENERAL,Neuquén,LA LIBERTAD AVANZA,155394
GENERAL,La Pampa,UNION POR LA PATRIA,79229
GENERAL,Misiones,LA LIBERTAD AVANZA,305629
GENERAL,Misiones,JUNTOS POR EL CAMBIO,104787
GENERAL,Misiones,HACEMOS POR NUESTRO PAIS,29966
GENERAL,Misiones,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10036
GENERAL,Mendoza,LA LIBERTAD AVANZA,469367
GENERAL,Mendoza,JUNTOS POR EL CAMBIO,286475
GENERAL,Mendoza,HACEMOS POR NUESTRO PAIS,47958
GENERAL,Mendoza,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38572
GENERAL,Tucumán,UNION POR LA PATRIA,471145
PASO,Ciudad Autónoma de Buenos Aires,LA LIBERTAD AVANZA,299097
PASO,Ciudad Autónoma de Buenos Aires,HACEMOS POR NUESTRO PAIS,15886
